Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [2525 Mini Shop],Price [2525 Mini Shop],In stock [2525 Mini Shop],Low stock [2525 Mini Shop],"Tax - ""消費税"" (8%)"
hirohasu-water-100ml,BV000005,ฮิโรฮาสุ Natural Water 2l,เครื่องดื่ม,,N,,,,,,,0,4902102113625,,,Y,Y,150,4.000,,Y
เกลือ-1-กิโล,10280,เกลือ 1 กิโล,ผงปรุงรส,,N,,,,,,,139,4546786100115,,,Y,Y,180,0.000,,Y
เกลือ-1-กิโลกรัม,10279,เกลือ 1 กิโลกรัม,ผงปรุงรส,,N,,,,,,,0,4942355239116,,,Y,Y,169,0.000,0.000,Y
เกลือขวด110-กรัม,10278,เกลือขวด110 กรัม,เครื่องปรุง,,N,,,,,,,0,49620443,,,Y,Y,223,3.000,0.000,Y
เกลือแร่(oreda),10949,เกลือแร่(oreda),,,N,,,,,,,0,3857914301306,,,Y,Y,300,100.000,0.000,Y
เขียดตากเเห้ง,10732,เขียดตากเเห้ง,ของตากแห้ง,,N,,,,,,,0,,,,Y,Y,1000,0.000,0.000,Y
เค๊กกล้วยหอม,11043,เค๊กกล้วยหอม,ขนม,,N,,,,,,,500,,,,Y,Y,650,10.000,,Y
เครื่องต้มข่า-โลโบ-50-กรัม,10163,เครื่องต้มข่า โลโบ 50 กรัม,เครื่องแกง,,N,,,,,,,126,8850030116019,,,Y,Y,250,4.000,,Y
เครื่องต้มยำ-โลโบ-30-กรัม,10164,เครื่องต้มยำ โลโบ 30 กรัม,เครื่องแกง,,N,,,,,,,184,8850030116064,,,Y,Y,270,10.000,0.000,Y
เครื่องต้มเปื่อยトムブァイ-(クァントムブァイ),10683,เครื่องต้มเปื่อยトムブァイ (クァントムブァイ),เครื่องแกง,,N,,,,,,,122,8858265001018,,,Y,Y,150,6.000,0.000,Y
เครื่องตุ๋นยาจีน-(ศิริเรืองอำไพ),10657,เครื่องตุ๋นยาจีน (ศิริเรืองอำไพ),เครื่องปรุง,,N,,,,,,,0,8854700003739,,,Y,Y,185,0.000,0.000,Y
เครื่องปรุงน้ำยา-โลโบ-60g,10143,เครื่องปรุงน้ำยา โลโบ 60g,เครื่องแกง,,N,,,,,,,0,8850030116514,,,Y,Y,230,0.000,0.000,Y
เครื่องปรุงผัดใบกระเพรา-โลโบ-50g,10144,เครื่องปรุงผัดใบกระเพรา โลโบ 50g,เครื่องแกง,,N,,,,,,,0,8850030116569,,,Y,Y,230,10.000,0.000,Y
เครื่องเทศต้มตุ๋นห่อผ้า,10487,เครื่องเทศต้มตุ๋นห่อผ้า,เครื่องปรุง,,N,,,,,,,165,8854700003586,,,Y,Y,238,21.000,,Y
เงาะในน้ำเชื่อม,10376,เงาะในน้ำเชื่อม,หมวดกระป๋อง,,N,,,,,,,382,8850649205074,,,Y,Y,550,1.000,0.000,Y
เฉาก๊วย,10353,เฉาก๊วย,วัตถุดิบของหวาน,,N,,,,,,,0,072869152220,,,Y,Y,350,0.000,0.000,Y
เฉาก๊วย-ชากังราว,10830,เฉาก๊วย ชากังราว,เครื่องดื่ม,,N,,,,,,,160,2327020000000,,,Y,Y,280,-8.000,,Y
เต้าหู้ปลาแช่แข็ง(.豆腐フィッシュケーキ),10406,เต้าหู้ปลาแช่แข็ง(.豆腐フィッシュケーキ),,,N,,,,,,,0,8858771600637,,,Y,Y,480,-3.000,0.000,Y
เต้าหู้ยี้-1,10055,เต้าหู้ยี้,สินค้าจีน,,N,,,,,,,0,6907592000026,,,Y,Y,380,0.000,0.000,Y
เต้าเจี้ยว,10227,เต้าเจี้ยว,,,N,,,,,,,0,8850206160143,,,N,Y,300,,,Y
เต้าเจียว(เด็กสมบรูณ์)soybean-paste-810g,10873,เต้าเจียว(เด็กสมบรูณ์)SOYBEAN PASTE 810g,เครื่องปรุง,,N,,,,,,,440,8850206160020,,,Y,Y,630,10.000,,Y
เต้าเจี่ยวขวดพันท้ายนรสิงห์,11051,เต้าเจี่ยวขวดพันท้ายนรสิงห์,เครื่องปรุง,,N,,,,,,,506,8850058007375,,,Y,Y,680,8.000,,Y
เต้าเจี้ยวตราเด็กสมบูรณ์-350-กรัม,10226,เต้าเจี้ยวตราเด็กสมบูรณ์ 350 กรัม,เครื่องปรุง,,N,,,,,,,297,8850206160129,,,Y,Y,439,-1.000,,Y
เต้าเจี้ยวสูตร-1-ตราเด็กอ้วน-850-กรัม,10228,เต้าเจี้ยวสูตร 1 ตราเด็กอ้วน 850 กรัม,เครื่องปรุง,,N,,,,,,,0,8850392151857,,,Y,Y,530,0.000,,Y
เทพไทยtepthai(spearmint),10074,เทพไทยTepthai(Spearmint),Cosmetic,,N,,,,,,,0,8857123060037,,,Y,Y,800,2.000,0.000,Y
เทียมเจียวคุณชาย-100-กรัม,10308,เทียมเจียวคุณชาย 100 กรัม,อาหารแห้ง,,N,,,,,,,300,8857106850938,,,Y,Y,450,0.000,,Y
เนสกาแฟ-น้ำตาลน้อย-nescafe-3ni1-less-super,10863,เนสกาแฟ น้ำตาลน้อย NESCAFE 3ni1 less super,เครื่องดื่ม,,N,,,,,,,37,8850125078918,,,Y,Y,120,27.000,0.000,Y
เนสกาแฟ-เอสเปรสโซ-โรสต์-nescafeespresso-roast,10865,เนสกาแฟ เอสเปรสโซ โรสต์ NESCAFEESPRESSO ROAST,เครื่องดื่ม,,N,,,,,,,37,8850124012869,,,Y,Y,120,0.000,0.000,Y
เนสคาแฟ-ริช-อโรม่า-nescafe-rich-aroma,10864,เนสคาแฟ ริช อโรม่า NESCAFE Rich aroma,เครื่องดื่ม,,N,,,,,,,37,8850124034519,,,Y,Y,120,5.000,,Y
เนสที-ชาเบอร์รี่,10496,เนสที ชาเบอร์รี่,เครื่องดื่ม,,N,,,,,,,0,8850127006728,,,Y,Y,110,11.000,,Y
เนสวีต้า,10078,เนสวีต้า,Snak,,N,,,,,,,0,8850127003567,,,Y,Y,120,0.000,,Y
เนื้อคอหมูย่าง,10870,เนื้อคอหมูย่าง,FROZEN,,N,,,,,,,500,,,,Y,Y,850,5.000,0.000,Y
เนื้อมะพร้าวในน้ำเชื่อม,10320,เนื้อมะพร้าวในน้ำเชื่อม,หมวดกระป๋อง,,N,,,,,,,271,8850649200123,,,Y,Y,395,3.000,0.000,Y
เนื้อหมู,11091,เนื้อหมู,,,N,,,,,,,400,,,,Y,Y,650,10.000,,Y
เนื้อเศษ-(วัว),10897,เนื้อเศษ (วัว),FROZEN,,N,,,,,,,850,,,,Y,Y,980,6.000,0.000,Y
เบกกิ้งโซดา(powder),11003,เบกกิ้งโซดา(POWDER),เครื่องใช้ในครัว,,N,,,,,,,549,8850358372739,,,Y,Y,800,7.000,0.000,Y
เบนด้า500,10343,เบนด้า500,,,N,,,,,,,0,,,,Y,Y,500,5.000,0.000,Y
เบนเนท-สบู่วิตามินอีcurcump,10713,เบนเนท สบู่วิตามินอีCURCUMP,Cosmetic,,N,,,,,,,400,8850784994734,,,Y,Y,550,0.000,0.000,Y
เบนโตะ-1,10061,เบนโตะ,Snak,,N,,,,,,,300,,,,Y,Y,500,0.000,0.000,Y
เบนโตะ-bento-hot-and-spicy-flavor,10928,เบนโตะ Bento hot and spicy Flavor,ขนม,,N,,,,,,,25,8850157000864,,,Y,Y,100,15.000,,Y
เบนโตะ-ต้นตำรับ,11035,เบนโตะ ต้นตำรับ,Snak,,N,,,,,,,0,8850157400244,,,Y,Y,500,0.000,,Y
เบนโตะ-พริกคั่วหมึกย่าง,11032,เบนโตะ พริกคั่วหมึกย่าง,Snak,,N,,,,,,,0,8850157405300,,,Y,Y,100,18.000,,Y
เบนโตะ-รสน้ำพริกไท/bento-namprik-thai-flavor,10929,เบนโตะ รสน้ำพริกไท/BENTO Namprik Thai Flavor,ขนม,,N,,,,,,,25,8850157400206,,,Y,Y,100,7.000,,Y
เบนโตะ-รสลาบ,11034,เบนโตะ รสลาบ,Snak,,N,,,,,,,0,8850157401296,,,Y,Y,500,3.000,,Y
เบนโตะรสซีฟู้ดจัดจ้าน,10388,เบนโตะsweet& spicy,Snak,,N,,,,,,,0,8485300151850,,,Y,Y,100,20.000,,Y
เบนโต๊ะซอสเกาหลี,11033,เบนโต๊ะซอสเกาหลี,Snak,,N,,,,,,,0,8850157406741,,,Y,Y,500,1.000,,Y
เบบี้-มายด์-สวีทตี้-ชมพู,10983,เบบี้ มายด์ สวีทตี้ ชมพู,Cosmetic,,N,,,,,,,450,8851123703468,,,Y,Y,800,2.000,0.000,Y
เบบี้มายด์-ดับเบิ้ลมิลค์-แป้งเด็กออร์แกนิค,10982,เบบี้มายด์ ดับเบิ้ลมิลค์ แป้งเด็กออร์แกนิค,Cosmetic,,N,,,,,,,450,8851123705776,,,Y,Y,80,1.000,0.000,Y
เบบี้มายด์-สวีทตี้-พิงค์-แป้งเด็กออร์แกนิค,11019,เบบี้มายด์ สวีทตี้ พิงค์ แป้งเด็กออร์แกนิค,Cosmetic,,N,,,,,,,800,8851123703505,,,Y,Y,1200,-3.000,,Y
เบอร์ดี้-เอสเปรสโซbirdy,10866,เบอร์ดี้ เอสเปรสโซBirdy,เครื่องดื่ม,,N,,,,,,,37,8850250004165,,,Y,Y,120,23.000,0.000,Y
เบอร์ดี-เอสเปรสโซbirdy-espresso-less-sugar-formula,10857,เบอร์ดี เอสเปรสโซBirdy Espresso Less Sugar Formula,เครื่องดื่ม,,N,,,,,,,1000,8850250007449,,,Y,Y,2500,1.000,0.000,Y
เปี๊ยะทุเรียน-ถั่วpia-cake-mung-bean-durian,10927,เปี๊ยะทุเรียน-ถั่วPIA CAKE MUNG BEAN DURIAN,ขนม,,N,,,,,,,550,8936014310038,,,Y,Y,750,2.000,,Y
pia-taro-durian,10342,เปี๊ยะทุเรียน-เผือก Pia Taro Durian,ขนม,,N,,,,,,,590,8936014311936,,,Y,Y,750,10.000,,Y
เปี๊ยะทุเรียนvegetarian-pia-cake-mung-beans---durian,10926,เปี๊ยะทุเรียนVegetarian Pia Cake Mung Beans - Durian,ขนม,,N,,,,,,,580,8936014316658,,,Y,Y,750,10.000,,Y
เปี๊ยะทุเรียนไข่เค็ม,11114,เปี๊ยะทุเรียนไข่เค็ม,ขนม,,N,,,,,,,550,8936014316702,,,Y,Y,750,9.000,,Y
เปี๊ยะไส้ถั่ว-ไข่เค็ม,11075,เปี๊ยะไส้ถั่ว ไข่เค็ม,,,N,,,,,,,550,8857121694074,,,Y,Y,700,2.000,,Y
เผือกแช่แข็ง,10847,เผือกแช่แข็ง,FROZEN,,N,,,,,,,389,8858265000400,,,Y,Y,550,0.000,,Y
เพรทซ์รสต้มยำกุ้ง,10390,เพรทซ์รสต้มยำกุ้ง,Snak,,N,,,,,,,0,8851019030982,,,Y,Y,110,0.000,0.000,Y
